network,author_username,post_text
twitter,sighcow,"@whitehouse
æ¬¡ã¯ã‚¢ãƒãƒ­è¨ˆç”»ã¾ãŸã¯ãƒ’ãƒˆã‚²ãƒŽãƒ è¨ˆç”»ï¼Ÿæˆ‘ãŒå›½ãŒè¿°ã¹ã‚‹ã¹ãå£®å¤§ãªæŒ‘æˆ¦ã«åå¿œãã ã•ã„ï¼Ÿã€€ãƒ»ãƒ»ã©ã¡ã‚‰ã‚‚èŽ«å¤§ã«ã‚«ãƒã‹ã‹ã‚‹ãªã€‚ç„¡é§„ã«åŒ–çŸ³ç‡ƒæ–™ã‚‚ã‚„ã—ã¦ç ´å£Šã™ã‚‹ã ã‘ã ã‚ã€‚ãã‚Œã¨ã‚‚"
twitter,Jmd1953,@whitehouse 100% College Graduation. Full Year Education from Grade School on and there will be no Challenge this country could not face.
twitter,Jamion,"@whitehouse Our survival here, depends on our ability to go out there. Space programs, like Constellation, is our planets only hope."
twitter,AddamBongg,"@whitehouse DUDE, I WISH I HAD SOMETHING FOR YOU BESIDES TO PROMOTE PEACE AND TO STOP THE WAR BULLSHIT"
twitter,Jamion,"@Whitehouse Overpopulation, not global warming, is the biggest thing threatening out planet, we need to expand into space to survive."
twitter,ThomasMortley,"@whitehouse I have no say in your affairs, but the Apollo programme inspired the world - please keep it up."
twitter,Ustice,"#whgc @whitehouse Let's go to Mars. With all of the challenges that that goal poses, we'll get a lot of the others challenges for free."
twitter,mrcessna,@whitehouse Very expensive but we (mankind) need to explore - the Moon and Mars
twitter,twmtalks,Great open-ended question from @WhiteHouse! We get bogged down in daily challenges; forget to conquer the big ones. Reminder for us all.
twitter,kleptomik,@whitehouse less wars #grandchallenge #whgc
twitter,CelestialBeard,@whitehouse 65% of energy to be green in 2025 #whgc
twitter,cobaltbluetony,@whitehouse ALL of them should be on our agenda.  And kept from the slimy hands of greedy privateers.
twitter,runenakken,"@whitehouse #whgc What kind of question is that? Get serious and battle the threats from global warming, and rein China!"
twitter,stump0,"@whitehouse Obama to America -- I Win, You Lose http://shar.es/msJ4w"
twitter,VAXHeadroom,"@whitehouse #whgc Moonbase would inspire our students, create new tech, markets, and businesses and return &gt;10X the INVESTMENT it takes!"
twitter,cahofmeyr,@whitehouse battery technology that will enable a transition to electric vehicles with requisite charging infrastructure #whgc
twitter,chrisjohnston,@whitehouse next Apollo program #whgc
twitter,vsavoldi,@whitehouse Want to change the world? Free Nationwide Wireless Internet Access. #whgc  Outerspace and Innerspace not so important for us.
twitter,stump0,@whitehouse Report: Sarkozy Says Obama May Be 'Insane' | The FOX Nation http://shar.es/msJGU
twitter,kellnermgmt,@whitehouse www.myspace.com/joeymarcantonio please check him out...please retweet about him if you like what you hear @joeymarcantonio
twitter,ru3,@whitehouse DRM that doesn't hinder the purchaser's experience or ownership. #whgc
twitter,supermark,@whitehouse human genome project
twitter,stump0,"@whitehouse When Bush Said This, Media Said He Played Fear Cardâ€¦ | The FOX Nation http://shar.es/msJ5f"
twitter,Eiron,@whitehouse The next Apollo project. Space exploration is so important to keep the human race in an aspiration mode.
twitter,redaction00,"@whitehouse Combine bioinformatics with our new health care system, to cure diseases and protect us from biological warfare. #whgc"
twitter,riptidef,@whitehouse Close the digital divide for all students beginning with the youngest first #whgc
twitter,thegeekshite,@whitehouse Whats wrong with going back to the moon and not scrapping our manned launch program in favor of the Russians? Stupid move. #whgc
twitter,jeannej9,@whitehouse Apollo
twitter,nethed,"@whitehouse, The next Grand Challenge should be Better Education. We're building a society of delinquent or dilettantes."
twitter,Slayer1cell,@whitehouse Put a man on Mars. #whgc
twitter,dajmeister,@whitehouse Ubiquitous speedy (100Mbps - 1 Gbps) wireless internet access across the entire country. Or even the globe! #whgc
twitter,davidgaw,@whitehouse Cut the national debt by 90 percent. #whgc
twitter,havingcoffee,@whitehouse human genome..there are more lives at stake than going into space and those lives outweigh our national glory
twitter,sstrudeau,@whitehouse let's build an eastern seaboard wind grid http://j.mp/dj2ZEI #whgc
twitter,stump0,@whitehouse Voicemails Expose Left&#8217;s Racism   http://is.gd/bnbDC
twitter,dajmeister,RT @johnxlibris: @whitehouse make internet access a national priority: like water or electricity #whgc
twitter,yayster,"@whitehouse In addition to Bandwidth, the next Grand Challenge, should be having the BEST energy/information capacity and infrastructure."
twitter,dubruss,@whitehouse we should go to Mars. If only to piss republicans off by spending more money. A gnome project would sound like big bro watching.
twitter,dajmeister,RT @barakathawa: @whitehouse Follow Google's lead: 1Gbps internet across the nation.  100% penetration.  Net neutrality. #whgc
twitter,sighcow,"@whitehouse
ã‚ã‚ã€â˜®æˆ¦äº‰ã§è³‡é‡‘ã‚°ãƒªä¸Šæ‰‹ãªã€ãã¡ã‚‰ã®å›½ãŒè¿°ã¹ã‚‹ã¹ãå£®å¤§ãªæŒ‘æˆ¦ã«åå¿œã™ã‚‹ã‹ã©ã†ã‹ï¼Ÿã€€æ˜Žæ—¥ã‹ã‚‰ï¼’ï½žï¼“æ—¥ã€
@hatoyamayukio
ã£ã¦å¥´ãŒåŽ„ä»‹ã«ãªã‚‹ã‘ã©ã€€ãƒŠãƒ‹è¨€ã£ã¦ã‚‚ã€€ãŠãŠã‚ã«ã¿ã"
twitter,ImagiNacional,@whitehouse  Cure Huntington's Parkinson's and Alzheimer's diseases.
twitter,thesupermikey,",@whitehouse i think a new apollo program is the way to go! private money just does not seem to be enough to explore space #whgc"
twitter,julzmon,@whitehouse #whgc I think we should try and fix things at home before going on another mission
twitter,Jamion,"@whitehouse Expansion of humans to other worlds will lead, to less greenhouse gasses, and more resources for all. Colonize Luna and Ceres."
twitter,mattjoc,@whitehouse: We should focus on not completely destroying our planet. Lets fund the hell out of alternative energy research!
twitter,ketira,"@whitehouse - re: Grand Challenges, Educational Software:  something maybe like what Anne McCaffrey thought of in _Pegasus in Flight_?"
twitter,WhatsTheJFor,@whitehouse how about the economy?
twitter,TimValenta,@whitehouse Terraforming of Mars: http://bit.ly/AFybC
twitter,inventorloo,@whitehouse #whgc Next Apolo mission!
twitter,Nagleess,@whitehouse why not do them all this is the USA afterall
twitter,inventorloo,@whitehouse human genome project!
twitter,oihorse,".@whitehouse: Each home generating all power needed w/extra dumped back into communal grid for business, emergency, supplemental use #whgc"
twitter,JBenn1680,"@whitehouse  Lower Nat. Defecit, Reduce Oil Consumption(alternate fuel sources), Increase Homeland Defense & Bring our Troops home #whgc"
twitter,curtisbridges,@whitehouse Residential green technologies (solar/wind/geothermal) generating 10% of residential power. #whgc
twitter,curtisbridges,"@whitehouse 100 mpg car average. Or better yet, full electric cars &gt;10% of new cars. #whgc"
twitter,berrylively,@whitehouse it's time for obama and dems to fight back against republicans as well teabaggers coz we voted for change not wimpy leadership.
twitter,BleedingQuasar,@whitehouse human genome project is my request #whgc
twitter,kmazanec,@whitehouse make college tuition fully tax deductable
twitter,MagnetBootGuy,@whitehouse Superior Shock Mitigation Technology Footwear for our soldiers and woking men and women.  www.damps.com/
twitter,MagnetBootGuy,@whitehouse Superior Shock Mitigation Technology Footwear for our soldiers and working men and women. www.damps.com/
twitter,johnjkoch,"@whitehouse we should focus on sustainable, not just clean energy sources. Cheap, clean energy = resources to solve other problems"
twitter,MerryAKogut,.@whitehouse Keep manned Mars program; support birth control; research repairs to spinal probs; support solar & wind tech; stop the 2 wars!
twitter,rebeccaliceaga,The nxt Apollo prgrm or human genome project? Respond w/a Grand Challenge R Nation shld address: http://bit.ly/b1Fyq9 #whgc (via @whitehouse
twitter,ThatGuyDiego,@whitehouse the next Apollo in my opinion I always took pride in the space program as an American
twitter,achambe,"@whitehouse my grand challenge is to figure out how to pay off our debt. Step one, tune into Dave Ramsey."
twitter,kmazanec,@whitehouse pay for college in exchange for peacecorps/ americorps service
twitter,jeremycorn,@whitehouse ENERGY! Where's the Manhatten Project for sustainable/renewable power?
twitter,tbecki,"@whitehouse ""human genome project""  you got to be kidding.
What weak minded freak decided that????"
twitter,rlindsley,@whitehouse human genome project!
twitter,gahard,@whitehouse It is critical that the government invest in our internet infrastructure and support national broadband and net neutrality ...
twitter,RGriesinger,@whitehouse let's focus our resouces on education and stop wreckless spending on secondary issues. Our youth = our future #whgc
twitter,twit_HugeInCash,@whitehouse -  # MAKE-MONEY-ON-TWITTER # : http://ad.ly/publisher/refer/1998485528 (plz RT) www.visitpenang.gov.my
twitter,jamespgagnon,@whitehouse another great challenge to address - human genome mapping style project for the Human Brain.
twitter,fordiman,@whitehouse #whgc http://EnergyFromThorium.com  There's your challenge.
twitter,SERobinsonJr,@whitehouse we need to break light speed and interstellar travel.
twitter,KevinKapinos,@whitehouse How about a solar powered computer #whgc
twitter,NullFear,@whitehouse Apollo! #thinktankappftw
twitter,jamespgagnon,@whitehouse The next grand challenge we should address is how to REFORMAT our entire education system for the 21st century.
twitter,gahard,@whitehouse ... which are important issues facing us as the internet becomes an essential tool for data deliver and communication.
twitter,technotheory,On what tech/science challenges should the @whitehouse focus? Let them know this week: http://bit.ly/aNxg7g (@ginatrapani)
twitter,mattjoc,@whitehouse: We should focus on not completely destroying our planet. Lets fund the hell out of alternative energy research! #whgc
twitter,almosthenryford,@whitehouse Grand Challenge: measure and actually control financial risk #whgc
twitter,briankwoodard,"@whitehouse Keep people in space, because one of these days *bang zoom* right to the moon! @thinktankapp"
twitter,darkspider2042,@whitehouse genome helps out everone more then going back in to space or to the moon  http://myloc.me/5WgSS
twitter,timdiggerm,"@whitehouse Mars Colonization. Obvious, I know, but such a good idea."
twitter,dyrut,"@whitehouse low cost, high speed national rail projects that service all of the US."
twitter,nancycda,@whitehouse Make railroads like super highways run on electricity. We need a powerful alternative to air transportation.
twitter,energyaction,RT @EthanNuss Apollo Project of 100% #CleanEnergy for #OurDecade (via @whitehouse) Respond w/a Grand Challenge: http://bit.ly/b1Fyq9 #whgc
twitter,finalstart,@whitehouse Hopefully the big men will create peace on Earth
twitter,how_clever,"@whitehouse next big project? Real Health Care, this time for people, not corporations."
twitter,nspicker101,@whitehouse Genome takes the front seat.Next is the Apllo.One leads to other
twitter,daiconrad,@whitehouse Fusion. Nuclear Fusion. #whgc
twitter,cjupdike,"@timoreilly @whitehouse A national high school graduation of 98%, mission impossible?  impossible to measure maybe?"
twitter,TrinityCLT,Have a great idea about what the future of tech should be in the U.S.A. then follow @whitehouse and let them know http://bit.ly/cDnPK3
twitter,CreativeOK,RT: @whitehouse The next Apollo program or human genome project? Respond w/a Grand Challenge our Nation should address: http://bit.ly/b1Fyq9
twitter,mathowie,@whitehouse I'd like to see a 100mpg Truck/SUV (should be possible with biodiesel and hybrid tech) as an engineering challenge.
twitter,CJohanSmith,RT @anildash: Ever felt @whitehouse should take policy feedback via the web? Now's a chance to actually do it: http://bit.ly/adwhgcel
twitter,dd0s,#Current @whitehouse Can't we find a way to turn nuclear waste into fuel for nuclear energy? It'd h... http://bit.ly/b0JCxa #dd0s #ccp #gfw
twitter,eleventeen,"@whitehouse: SUSTAINABLE biofuel infrastructure (ie algae-based biodiesel), municipal-scale solar power. #whgc"
twitter,tamarin2087,@whitehouse rural and low income urban areas need better access to Internet and technology. One solution to many problems. #whgc
twitter,ezek1012,Wikipedia whitehouse. Ever felt @whitehouse should take policy feedback via the web? Now you can: http://bit.ly/adwhgcel via/ @anildash:
twitter,AtonalTensor,"@jeffjarvis @whitehouse The ""next Apollo program"" is a 20th century idea as out-of-date as the Encyclopedia Britannica."
twitter,soulfulmess,"âœ @whitehouse: SUSTAINABLE biofuel infrastructure (ie algae-based biodiesel), municipal-scale solar power. #whgc http://bit.ly/9gLcpa"
twitter,Revkin,"Re @whitehouse query on grand challenges for US: An energy quest, from household conservation to lab breakthroughs: http://j.mp/eQuest #whgc"
twitter,jmcpheron,"@whitehouse Back to the moon, then Mars #whgc"
twitter,RobertCristie,"AWESOME! RT @ramseyshow: RT @achambe: @whitehouse my grand challenge is to figure out how to pay off our debt. Step 1, tune into Dave Ramsey"
twitter,digiphile,"""The next Apollo program or human genome project?""-@WhiteHouse http://bit.ly/b1Fyq9 Learn more: http://expertlabs.org | #whgc"
twitter,matro,"""get ready to tell @whitehouse what our next big technological achievement should be, right here on Twitter"" -@ginatrapani http://whoa.cc/5g"
twitter,StevenHodson,@whitehouse how about some honest transparency and discussion about ACTA or does entertainment ind. own the government?
twitter,anildash,@whitehouse Can we teleport visible matter by 2025? It seems like it should be possible!
twitter,jhilker,@whitehouse @Obama @BarrackObama #whgc The Grand Challenge: Restore our faith in the Barrack Obama we thought we elected. @obamawire
twitter,JonTatum,@whitehouse shoot for Mars. The scientific advancements along the way will be enormous. The payoff will come in many unexpected ways.
twitter,sheppy,@whitehouse Land people on Mars; that project will inevitably lead to half the other stuff people want to happen coming true. #whgc
twitter,me3dia,The White House is now using Twitter (@whitehouse) to gather policy suggestions from the public w/help of @ExpertLabs http://tr.im/VupY
twitter,byeongchul,Expert Lab for Complete DNA sequencing of every type of cancer ... RT @expertlabs  @whitehouse's Grand Challenge: http://bit.ly/b1Fyq9 #whgc
twitter,VV4Change,@whitehouse Choose a Supreme Court nominee who will stand up for everyday Americans and oppose efforts to expand the power of corporations.
twitter,markzip,@whitehouse Encourage unencumbered municipal fibre to open local peering points. Grand challenge indeed! #whgc
twitter,mgirard,@whitehouse The next Apollo program
twitter,director59,"@whitehouse increased benefits for disabled persons, stem cell research, increase Social Security benefits so (cont) http://tl.gd/rel7k"
twitter,GregElin,RT @anildash: Ever felt @whitehouse should take policy feedback via the web? Now's a chance to actually do it: http://bit.ly/adwhgcel
twitter,ChrisSpinato,@whitehouse Apollo program for renewable energy. Let us be bold: we intend to have a 75% majority of cars in us on hybrid engines in 5 yrs
twitter,Followorthy,http://bit.ly/chZHFi anildash: @whitehouse Can we teleport visible matter by 2025? It seems like it should be possible! http://bit.ly/cJ0XKl
twitter,thalkowski,@whitehouse rebuild national passenger rail system.  Transportation system is crucial national resource.
twitter,kathycroft,"RT @ramseyshow RT @achambe: @whitehouse my grand challenge is to figure out how to pay off our debt. Step one, tune into Dave Ramsey."
twitter,WyatteCrowe,@whitehouse fund constelation!!!
twitter,tsayre,@whitehouse We should try to achieve energy independence!
twitter,bwillard,"@good, @whitehouse = 1 part  more people like @Jamie_Oliver + 1 part good parenting + 30 mins exercise/day = end of childhood obesity"
twitter,Miss_CRT,"@whitehouse We need to get a man on Mars...NASA has the power, knowledge, and technology to conquer the Martian divide by 2020...."
twitter,dom3792,"@whitehouse transparent solar ray absorption technology, so all windows can be used as solar panels #whgc"
twitter,PopularFeeds,"twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your imagi... http://bit.ly/dwtj5W"
twitter,tonysharon04,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your imagination:..."
twitter,akhilak,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter.  http://bit.ly/9ouo1i"
twitter,peteds,"@docgeek  ideas?  The @whitehouse is looking for Grand Challenges in science and technology, via Twitter.  http://bit.ly/9ouo1i"
twitter,aaforse,"RT @twitter @whitehouse is looking for Grand Challenges in science & technology, via Twitter. Fire up your imagination: http://bit.ly/9ouo1i"
twitter,theatermonkey,"@whitehouse Put your efforts into computing and artificial intelligence. With breakthroughs from that, all else will follow. #whgc."
twitter,vipwoody,"The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your imagination: http://bit.ly/9ouo1i"
twitter,MsStefaPie,"@whitehouse High-speed Internet access for all citizens! If Finland can do it, why not us? Access to information is power! #whgc"
twitter,46Bit,"@whitehouse Hence the price of space missions would gradually decrease a lot, as well as their possible scope vastly expanding."
twitter,Followorthy,http://bit.ly/chZHFi craignewmark: RT @Rasiej: RT @anildash: Ever felt @whitehouse should take policy feedback via web? Now's chance to ...
twitter,KatetheRunner,A big challenge for science and technology will be in bringing folk together. We need an universal translator! @whitehouse
twitter,valthonis,@whitehouse Take us back to the moon.  Our space program is the last great technological bastion that hasn't been killed... yet. #whgc
twitter,46Bit,@whitehouse Establish an automated mining colony on an asteroid in the belt/elsewhere to get raw materials to build spacecraft in space.
twitter,dudeman718_jail,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter: http://bit.ly/9ouo1i"
twitter,JoeyfromJersey,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter: http://bit.ly/9ouo1i"
twitter,Wiseguy_Joe,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter: http://bit.ly/9ouo1i"
twitter,moeabdou,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your imagination: http://bi ..."
twitter,dudeman718,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter: http://bit.ly/9ouo1i"
twitter,Massallys,"The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your imagination: http://bit.ly/9ouo1i"
twitter,twitter,"The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your imagination: http://bit.ly/9ouo1i"
twitter,ticklemeozmo,"@whitehouse #whgc Patent/copyright reform: without, solar cells, lightweight vests and software will stifle under biased and archaic laws."
twitter,Hillenblog,"Idea @whitehouse #whgc A giant pneumatic tube system, moves people & products at high speeds around the country."
twitter,nmellendorf,"@whitehouse Design a car that gets 100 mpg, doesn't use a toxic acid-filled battery and doesn't ""plug in."" Condo/apt. people can't plug in."
twitter,JimDeVico,@whitehouse #whgc Put something at Ground Zero within 4 years
twitter,GarmonEstes,"@whitehouse Our government facilities should be leading examples of environmental friendliness: Native landscaping, energy efficient #whgc"
twitter,cipher3d,"@whitehouse Grand Challenge: Construct an interface that directly links the human brain and computer. New communication methods, AI, & more."
twitter,QueenEster21,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your im... http://bit.ly/9ouo1i"
twitter,JimDeVico,@whitehouse #whgc Manned mission to Mars that can do the trip in 90 days - not six months.
twitter,DamienMcKenna,"Let the @whitehouse know that science education needs to be kept to science, not religious indoctrination: http://bit.ly/9ouo1i"
twitter,DamienMcKenna,"@whitehouse Step 1: limiting what is taught as science to that which is studied using scientific principles, not just the bible #whgc"
twitter,JimDeVico,@whitehouse #whgc Cure for cancer
twitter,SuperMNet,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your ima... http://s-a.cc/Wmi47"
twitter,sheenamedina,"RT @twitter The @whitehouse is looking for Grand Challenges in science and tech, via Twitter. Fire up your imagination: http://bit.ly/9ouo1i"
twitter,JimDeVico,@whitehouse #whgc Space elevator
twitter,will8907,Personally I think the @whitehouse should focus on broadband Internet for everyone in the country. It would improve a lot of things... #whgc
twitter,csdot,@whitehouse: Moratorium on all oil exploration - thereby forcing greatly accelerated development of alternative sustainable power #whgc
twitter,CharlieDrummond,@whitehouse solution 1=&gt;distributed power generation & storage. solution 2=&gt;tethered orbital platform + much much more
twitter,will8907,The @whitehouse is asking you 2 tell them what our next great scientific and technological challenges should be. Ideas? http://bit.ly/ahXKwJ
twitter,ttwrite,"RT @twitter The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your imagination: http://expert"
twitter,BenGray10,"@whitehouse: genetically alter human genes to create an army of super-human soldiers. Or maybe you've done that already, I don't know. #whgc"
twitter,edwardsdna,"RT @twitter: @whitehouse looking for Grand Challenges in science and technology, via Twitter. Fire up your imagination: http://bit.ly/9ouo1i"
twitter,teachtgs,"The @whitehouse is looking for Grand Challenges in sci and tech, via Twitter. Fire up your imagination: http://bit.ly/9ouo1i #edchat"
twitter,jakotrotter,@whitehouse man on mars by 2020. #whgc
twitter,apiiip,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your (cont) http://tl.gd/rf883"
twitter,MOVidato,"La cuenta @whitehouse (Casa Blanca, USA) esta buscando grandes retos en ciencia y tecnologia.. http://bit.ly/9ouo1i via @twitter"
twitter,billy1986,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter (cont) http://m.tuitwit.com/long/1858068"
twitter,CharlieDrummond,"@whitehouse challenge 1: practical, efficient electromechanical batteries. challenge 2: high tensile strength nanoscale metamaterials"
twitter,silucky,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your (cont) http://tl.gd/rf7r0"
twitter,erinmccune,RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology. Fire up your imagination: http://bit.ly/9ouo1i
twitter,FWASF,RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology. Fire up your imagination: http://bit.ly/9ouo1i
twitter,Chanel4News,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your imagination: http://bit.."
twitter,jstan,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your ... http://bit.ly/9SbDxk"
twitter,MOVidato,"Congrats ThatÂ´s a Gov! RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, ... http://bit.ly/9ouo1i"
twitter,conmas,"@whitehouse The ultimate goal of human civilization is to outlive Earth. With that in mind, colonization of other planets is a must. #whgc"
twitter,tobybarazzuol,"RT @twitter The @whitehouse is looking for Grand Challenges in science & technology, via Twitter. use your imagination! http://bit.ly/9ouo1i"
twitter,SoCalMovieFans,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your... http://bit.ly/dBeCMF"
twitter,SoCalMovieFans,"RT @twitter: The @whitehouse is looking for Grand Challenges in science and technology, via Twitter. Fire up your imagination:..."
